City State,"Violent Crime Rate Per 100,000 People","Property Crime Rate Per 100,000 People"
Danville VA,311.6,4487.1
De Kalb IL,448.3,2982.5
Dearborn Heights MI,337.2,2201.7
Decatur AL,427.6,5190.1
Delano CA,504.4,2645.5
Des Plaines IL,110.8,1604.6
Desoto TX,259.9,3508.2
Diamond Bar CA,97.4,1685.9
Doral FL,177.1,4982.4
Downers Grove IL,60.2,2062.9
Draper UT,98.6,1986.2
Dublin CA,178.7,1555.2
Dublin OH,35.4,1284.7
Dubuque IA,219,#N/A
Dunwoody GA,95.1,4073.3
East Brunswick NJ,52.1,1789.2
East Hartford CT,373.3,3058.5
East Lansing MI,238.2,2039
East Providence RI,151.1,1774.7
Eastvale CA,74,1816.4
Edina MN,#N/A,1780
Edmonds WA,140.4,2472.4
Egg Harbor NJ,227.6,1963.2
El Centro CA,380.4,5675.6
Elmhurst IL,72,1399
Enfield CT,67,1830.1
Enid OK,329.6,3975.5
Euless TX,178.5,2983.4
Everett MA,400.2,2321.3
Evesham NJ,65.4,1491.9
Fairfield OH,341.7,3131.5
Farmington NM,1061.2,4116.7
Fitchburg MA,781.7,2661.2
Florissant MO,151.2,2239.5
Fond du Lac WI,422.4,2793.2
Fort Pierce FL,1108.9,5462.1
Fountain Valley CA,187,2592
Freeport Village NY,483.3,2023.2
Galveston TX,602,5021.4
Gardena CA,479.9,2209
Georgetown TX,131.2,1828.9
Gilroy CA,317.7,3573
Glendora CA,115.9,2540.1
Glenview IL,86.8,1066.6
Grand Forks ND,271.2,2617.1
Grand Island NE,326.7,4648.8
Grand Junction CO,423.4,4592
Grapevine TX,147.6,2782
Great Falls MT,254.4,4696.8
Greenburgh Town NY,112.9,1359.2
Greenwood IN,369.1,3495.9
Hackensack NJ,#N/A,2020.7
Hagerstown MD,489.1,3615.1
Haltom City TX,240.8,3302.7
Hamburg Town NY,77.5,2847.3
Hanford CA,564,3123
Harrisburg PA,1461.2,4876.1
Harrisonburg VA,217.7,2111.9
Hattiesburg MS,252.5,5709.9
Haverford PA,51.4,1189.3
Hempstead Village NY,853.3,1824.2
Hendersonville TN,240.6,1782.8
Hickory NC,656.6,6541
Highland CA,544.1,2970.4
Hoboken NJ,295.3,1958.9
Hoffman Estates IL,126.6,1361.5
Holyoke MA,948.8,6232
Howell NJ,79.8,1241.8
Huntersville NC,175.2,2165.9
Huntington Park CA,631.4,3244.8
Hutchinson KS,618.6,5947.1
Idaho Falls ID,239.5,2937.8
Irondequoit Town NY,151.8,3137.7
Irvington NJ,1304.5,3624.2
Jackson NJ,#N/A,1355.6
Jefferson City MO,601.2,3653.3
Jeffersonville IN,955.3,4263.8
Joplin MO,568.6,7576.9
Jupiter FL,202.9,2110.3
Kearny NJ,242.1,2147.2
Keller TX,36.5,943.2
Kettering OH,88.6,2288.1
Kingsport TN,739.3,5942.9
Kirkland WA,183.1,3292
Kokomo IN,387.9,4069.2
La Crosse WI,297,3768.5
La Mesa CA,383.3,2963.5
La Mirada CA,198.7,1573.7
La Puente CA,298.9,1287.1
Lacey WA,176.8,3362.4
Lake Elsinore CA,241.1,3583.6
Lake Havasu City AZ,108.4,2534
Lakeville MN,#N/A,1330.9
Lakewood OH,123.7,1981.8
Lakewood WA,782.6,4869.1
Leesburg VA,160.4,2169.8
Lehi UT,36.5,1322.5
Lenexa KS,117.8,1917.8
Leominster MA,656.8,3189.4
Lincoln CA,31.5,1140.2
Linden NJ,320.1,2372.6
Littleton CO,129.5,2887
Logan UT,64.4,2107.8
Lombard IL,124.2,2626.4
Lompoc CA,514.8,2704.1
Lower Merion PA,80.7,1775
Lower Paxton PA,239.6,2194.3
Madison AL,205.2,2435
Manchester NJ,46,1050.8
Manchester CT,189.9,3074.7
Mansfield OH,374.9,6750.2
Mansfield TX,126.5,1566.1
Margate FL,261.8,2023.3
Maricopa AZ,129.2,1880.5
Marietta GA,817.7,4395.5
Marlboro NJ,42,794
Mentor OH,112.5,2599.6
Meridian MS,565.9,5173.3
Methuen MA,162.3,1810.6
Miami OH,34,1916.9
Middletown PA,85.5,3494.5
Middletown CT,150.4,1879.8
Middletown OH,733.3,8225.2
Midland MI,90.2,1085.4
Midwest City OK,529,5347.2
Milford CT,87.1,3002.8
Millcreek PA,93.3,2038.6
Minnetonka MN,#N/A,1647
Minot ND,232.4,1755.6
Mishawaka IN,330.8,5783.3
Moline IL,404.5,3112
Monroe LA,990.4,7630.3
Moore OK,135.9,4205.7
Mount Laurel NJ,78.3,1686.8
Mount Prospect IL,58.8,1368.8
National City CA,619.2,3109.1
New Brunswick NJ,685.6,2711.9
Newark CA,388.2,3098.4
Newark OH,144.4,4796.3
Niagara Falls NY,1229.2,5884.1
Normal IL,215.9,2473.6
North Brunswick NJ,123.9,1771
North Lauderdale FL,453.3,2802.7
North Miami Beach FL,647.6,4614.2
North Port FL,222,1833.8
Norwich CT,244.3,2376.8
Novato CA,181.3,1805.7
Novi MI,66.5,1884.1
